scheme,num_domains,trial,step1_rtl_ms,step2_gcl_ms,step4_gel_ms,network_phase_ms,step3_merkle_ms,step5_rcp_bls_ms,step6_cred_bls_ms,compute_phase_ms,total_ms,all_valid
HFA-DID,15,0,6.258,5.532,4.808,6.258,0.015,1.332,1.339,2.687,8.944,True
Relay,15,0,33.138,32.599,31.767,97.504,0.196,20.025,19.947,40.168,137.673,
HFA-DID,15,1,5.999,5.877,5.622,5.999,0.016,1.328,1.315,2.66,8.658,True
Relay,15,1,31.266,30.889,31.146,93.301,0.176,19.893,19.737,39.806,133.107,
HFA-DID,15,2,6.07,6.297,6.769,6.769,0.014,1.316,1.314,2.643,9.413,True
Relay,15,2,34.03,33.226,33.55,100.806,0.174,19.825,19.616,39.615,140.421,
HFA-DID,15,3,6.369,5.975,6.416,6.416,0.013,1.348,1.296,2.657,9.073,True
Relay,15,3,31.781,31.333,30.966,94.079,0.177,19.864,19.696,39.737,133.816,
HFA-DID,15,4,6.551,6.837,5.637,6.837,0.013,1.316,1.3,2.628,9.465,True
Relay,15,4,31.699,31.447,31.722,94.869,0.176,19.991,19.654,39.821,134.69,
HFA-DID,15,5,6.391,5.074,6.021,6.391,0.012,1.333,1.307,2.652,9.042,True
Relay,15,5,33.176,32.739,33.185,99.1,0.206,19.984,19.694,39.883,138.984,
HFA-DID,15,6,6.789,5.481,6.327,6.789,0.014,1.362,1.311,2.686,9.475,True
Relay,15,6,31.866,31.221,31.727,94.814,0.18,19.974,19.677,39.83,134.644,
HFA-DID,15,7,6.106,4.451,5.562,6.106,0.014,1.341,1.312,2.666,8.772,True
Relay,15,7,32.909,31.698,31.7,96.307,0.176,19.981,19.732,39.888,136.195,
HFA-DID,15,8,6.27,6.603,5.638,6.603,0.013,1.312,1.323,2.648,9.251,True
Relay,15,8,32.963,31.693,32.083,96.739,0.204,19.971,19.688,39.863,136.602,
HFA-DID,15,9,6.639,5.956,5.8,6.639,0.013,1.33,1.303,2.646,9.285,True
Relay,15,9,32.908,32.277,32.547,97.732,0.194,19.983,19.602,39.778,137.51,
HFA-DID,20,0,6.708,7.01,6.752,7.01,0.013,1.337,1.341,2.69,9.7,True
Relay,20,0,43.781,41.808,42.65,128.238,0.253,26.806,26.394,53.453,181.691,
HFA-DID,20,1,6.496,6.653,4.133,6.653,0.012,1.313,1.313,2.638,9.291,True
